分类,书名,作者,简介
历史,万古江河,许倬云,"★ 与余英时、黄仁宇、杨联陞、何炳棣、张光直比肩的海外华裔史学大家中国通史力作
★ 第三届“文津图书奖”获奖作品
★余英时、姚大力、葛兆光、王子今、许纪霖、白岩松一致推许
余英时：许先生好学深思，遍涉人文—社会诸学科，能将广博的知识加以融会贯通，而纳入一种由深思   熟虑得来的分析系统之中，著作宏观与微观交互为用、古今一贯、雅俗共赏。
姚大力：用许倬云先生自己的话来讲，政权的递换并不一定与中国这个复杂共同体的变化周期或者节律完全一致。这个周期实际上是一个更长的时段，它超越朝代。如果把中国通史按照朝代一个个讲下来，那它内在的经济、文化、社会演变的线索是掐断的。《万古江河》非常好，就在于它是以超越时代的时间幅度来讲中国历史的。
葛兆光： 许先生的笔下，是一个大历史。“所谓‘大历史’，不能从单独的事件着眼，必须从各种现象的交互作用，观察整体的变化。”大历史...
(展开全部)
葛兆光： 许先生的笔下，是一个大历史。“所谓‘大历史’，不能从单独的事件着眼，必须从各种现象的交互作用，观察整体的变化。”大历史要有大判断，非博览硕学之士，不能下大断语。
王子今：怎样在真实描绘社会运动的洪峰和大潮时，兼及社会生活的微澜和细流呢？怎样通过一个具体社会事件个案的了解，观察总体社会风貌，如同通过分析一支试管中的水样，察知大河的水质呢？《万古江河》是在这方面做得比较好的一部论著。要知道江河的位置和流向，可以使用1：10000的地图，也可以使用1：25000000的地图。前者便于察知细微，后者便于理解大势。二者的合理结合，就是《万古江河》的成功。
许纪霖：许倬云先生是中国史研究的大家，他的西周史、春秋战国与汉代的社会史研究独步天下，但影响更大的是他打通中西、纵观古今的通史研究。只有学问到了炉火纯青、阅历通透人情世故、人生看尽江山沧桑的时候，方能够化繁为简，将历史深层的智慧以大白话的方式和盘托出。有学问的专家不谓不多，但有智慧的大家实在太少，而许先生，就是当今在世的大智者之一。
白岩松：我们是谁？一直以来，我们以为自己知道。看了许倬云先生的书，才明白，其实我们基本不太知道，先生行走与写作都不便，却让思考走到最远，穿越了历史与成见。我们的不知道，正是一种对他致敬的方式。
★ 放宽历史视界看“文化圈”的中国走过的道路
★ 聚焦数千年中国人的生活起居、心灵关怀和信仰世界
★ 探索丰富多样的中国区域文化交织融合
★ 比较世界舞台上的中国与其他文明
【内容简介】
在世界文明存在与变化的剧烈大潮之中，中国如何自处，如何看待自身的历史与文化？中国从何处来，中国文化从何处来，又要向何处去？
这本《万古江河》即心怀中国文化的著名史家许倬云先生交出的一份答卷，也是为今天中国人撰写的历史，为中国文化的成长发展作的一部传记。随着历史的进展，中国文化的内容与中国文化占有的空间不断发生变化：从考古发现所见的中国文化的发端，到“中原”的出现，中原变成了中国，“中原的中国”慢慢扩张变成“中国的中国”，然后超越中国之外，慢慢将四邻吸收进来，通过文化上的交往以及势力范围的扩大，变成了“东亚的中国”，然后在亚洲范围之内扮演一个重要的角色，是“亚洲的中国”，再经过百多年颠簸与蹒跚进入世界，成为“世界的中国”。在对这各个超越王朝、政权的长时段文化圈的叙述中，中国文化和生长在中国这片土地上的人才是真正的主角，所以许先生围绕国家体制与时代特色，思想、宗教与文化变迁，农业、手工业与经济网络，民族、文化的融合与互动，中国人的日常生活，生活方式与生活资源，民间社会与信仰世界，文化、科学技术的进步转变，对外关系及与他者文明的比较互动等一系列主题展开。在在讲述着中国文化和中国人多彩鲜活的成长故事。
更可注意者，每一个阶段，中国都要面对别的族群及其缔造的文化，经过不断的接触与交流，或迎或拒，终于改变了“自己”，也改变了邻居族群的文化，甚至“自己”还与“别人”融合为一个新的“自己”。
【作者介绍】
许倬云，1930年生，江苏无锡人，1962年获美国芝加哥大学博士学位，先后执教于台湾大学、美国匹兹堡大学，其间多次受聘为香港中文大学、美国夏威夷大学、美国杜克大学、香港科技大学讲座教授。1986年荣任美国人文学社荣誉会士。学贯中西的史学耆宿，精通中国上古史、 文化史、社会史，熟悉西方历史及其理论与思想，擅长利用不同学科的视角和方法来研究历史，尤其是考察中国的历史与文化；不囿于书斋，时时心怀天下，关心中国文化的发展与走向。代表著作有《西周史》《汉代农业》《中国古代社会史论》《万古江河》《我者与他者》《说中国》等。
【作者自述】
我写这本书就是要给大家一个可读的东西，我不要再去记录朝代、皇帝、祖国的光荣，我要摆开看，老百姓过日子怎么样，老百姓怎么想。我的书里没有一个英雄人物。我希望把引导读者进入一个包含中国，却超越中国的新的人类社会。
我讲...
我讲文化的扩大，不讲武力。——我向来不喜欢讲武功，因为我从小在战争中长大，战争是非常残酷的事情，我知道什么叫做鲜血，所以我最反对歌颂战争中的英雄、歌颂鲜血。我不讲武功，不讲汉帝唐宗、成吉思汗，不讲开疆辟土，只讲文化圈的扩大。我所讲的主调是：在文化圈的扩大过程中，我们有“给”，我们也有“拿”。我们给过很多四邻中国的文化，我们也从四邻的文化中吸收接纳。
走过了数千年的历程，中国文化经过了无数的起起伏伏，这一文化圈的中国人也体验了无数的悲欢离合。返顾中国文化发展的轨迹，最可注意的是其兼容并蓄的胸怀；为此中国人遭逢外来异质文化时，常常能够吸收其精华，融入自己的文化体系。同时，若一个思想体系趋于独断，以致僵化时，常有内发的修正，使中国文化有更新的机会。
我们首先要在心理上重新整理自己，不要再囿于“中华中心论”，尤其是“中原中心论”。这样我们才心胸坦荡，可以组织起一个大的文明团体，而这个文明团体也更需要光明磊落、心胸坦荡地面对那些曾经压迫、欺负我们的文明团体。我们应当承认，别人的方案不一定错，我们的方案不一定对，各有各的好处，也各有各的不足。我们对的地方，可以重新整理，为未来全世界所用。你认为非常好的部分，到今天出了毛病了，也要想想要不要丢掉，要不要重新来过。平心静气，大家才可能和谐共处。"
历史,东晋门阀政治,田余庆,"本书以丰富的史料和周密的考证分析，对中国中古历史中的门阀政治问题作了再探索，认为中外学者习称的魏晋南北朝门阀政治，实际上只存在于东晋一朝；门阀政治是皇权政治在特定历史条件下出现的变态，具有暂时性和过渡性，其存在形式是门阀士族与皇权的共治。本书不落以婚宦论门阀士族的窠臼，对中国中古政治史中的这一重要问题提供了精辟的见解，具有很高的学术价值。
田余庆，1924年，湖南湘阴人，北京大学历史系教授。主要著作有《中国史纲要》（合著，翦伯赞主编），国家教委第一届大学教材特等奖）；《东晋门阀政治》（第一届国家图书奖）、《秦汉魏晋史探微》、《拓跋史探》等。"
心理学,蛤蟆先生去看心理医生,[英] 罗伯特·戴博德,"蛤蟆先生一向爱笑爱闹，如今却一反常态地郁郁寡欢，他一个人躲在屋里，连起床梳洗的力气都没有。朋友们非常担心他，建议他去做心理咨询。在10次心理咨询中，蛤蟆在咨询师苍鹭的带领下，勇敢地探索了自己的内心世界，也逐渐找回了信心与希望……
这并不是一本写给孩子看的书，而是一本非常有深度的心理疗愈读物。出版20多年来，已成为英国国民级心理咨询入门书。它基于TA沟通分析心理学的理论，讲述了一个抑郁症病人通过十次心理咨询，终于找回快乐和自信的全过程。在书中，可以看到心理咨询的倾听、共情、沟通技巧，也可以看到一个标准的心理咨询流程的模板。读者犹如亲临现场，体验心理咨询的每一个细节，见证疗愈和改变的发生。
在这本书里，作者借由蛤蟆和心理咨询师苍鹭的互动，探索了蛤蟆自卑、软弱、爱炫耀的个性与抑郁的情绪究竟来源于何处，让读者看到童年经历对人格的深刻影响，以及如何才能在心理上...
(展开全部)
在这本书里，作者借由蛤蟆和心理咨询师苍鹭的互动，探索了蛤蟆自卑、软弱、爱炫耀的个性与抑郁的情绪究竟来源于何处，让读者看到童年经历对人格的深刻影响，以及如何才能在心理上真正长大成人，独立、自信、充满希望地生活。
罗伯特·戴博德（Robert de Board），毕业于剑桥大学赛尔文学院，曾任教于英国亨利商学院，是一位经验丰富的心理学研究者和临床实践者。他的两本专业著作《咨询技巧》和《组织的心理分析》都是英国畅销的心理学类教科书。本书是他最著名、最畅销的一本大众心理学著作。"
心理学,不原谅也没关系,[美] 皮特·沃克,"创伤事件不仅仅包括偶发的、严重的刺激性事件（如战争、天灾、恐怖事件），还包括在成长过程中遭受的羞辱、贬低、欺凌、背叛、情感忽视、过度控制等伤害。这些伤害或许你难以诉说，但带来的创伤却可能远甚于单一事件。
有太多的人因为忽略了这样成长过程中的创伤，“莫名”地产生了人际关系障碍、情绪上的痛苦，甚至被误诊为边缘型人格障碍、自恋型人格障碍、焦虑症、抑郁症、强迫症……
本书作者皮特·沃克是享誉国际的创伤疗愈大师。他曾患有严重的复杂性创伤后压力综合征（CPTSD），根据自身的疗愈经历和三十多年作为心理治疗师的从业经验，他写下了这本经典之作。
在书中，他深度剖析了CPTSD的起因、症状和类型，并提供了有效的自我疗愈工具，以帮助读者打破在情绪、思维与身体层面的恶性循环。这种完整、系统的多元化疗法，让读者更容易看清自己的状况，突破盲点，取得疗愈进展。
皮特·沃克（Pete Walker）
美国资深心理治疗师，美国婚姻与家庭治疗协会、伯克利心理治疗研究所认证督导师，拥有心理学与社会工作双学位，从事心理咨询与治疗、教学、写作已超过三十年，并且担任治疗师督导超过二十年。CPTSD是他最擅长治疗的领域之一。"
心理学,也许你该找个人聊聊,[美]洛莉·戈特利布,"这是一位心理治疗师的回忆录，讲述了发生在诊室中的故事。在这个小小的密闭空间里，人们会展现出最真实、最脆弱的一面；也是在这里，人们获得了陪伴和倾听，也获得了宝贵的觉察、成长与改变。
在书中，我们会看到四个来访者的故事，他们是：
一个四十多岁、事业成功、自以为是，认为身边所有人都是蠢货的好莱坞制片人；
一个三十多岁、刚刚新婚就被诊断出患有绝症，时日不多的大学女教师；
一个六十九岁、离过三次婚，感觉孤独绝望，声称生活再不好转就要在七十岁生日当天自杀的老太太；
一个二十多岁、有原生家庭创伤和酗酒问题，在爱情中频频受挫的姑娘。
同时，书中还有第五个寻求帮助的人，那就是治疗师自己。她是一个单身的职场妈妈，四十多岁时遭遇失恋，几乎崩溃。有朋友对她说“或许你该找个人聊聊”，于是她也给自己找了一位心理治疗师。当她切换到来访者的位置，坐到另一位心理治疗师的沙发上诉说自己...
(展开全部)
同时，书中还有第五个寻求帮助的人，那就是治疗师自己。她是一个单身的职场妈妈，四十多岁时遭遇失恋，几乎崩溃。有朋友对她说“或许你该找个人聊聊”，于是她也给自己找了一位心理治疗师。当她切换到来访者的位置，坐到另一位心理治疗师的沙发上诉说自己内心的脆弱与悲伤，就更能感受到心理治疗为何具有治愈和改变的力量。
这本书从治疗师和来访者的双重视角展现了心理治疗的过程，让我们发现：无论身份背景有多相异，人类面对的烦恼其实都相通——爱与被爱、遗憾、选择、控制、不确定、死亡，这些都是我们身而为人必须共同学习面对的议题。我们在现实生活中所遭遇的切肤之痛和生命困境，都能在这本书中得到共鸣、找到希望。
本书是2019年美国众多媒体推荐的心理自助书——它荣登《纽约时报》《时代》《人物》《综艺》等媒体年度必读书榜单，是美国亚马逊当年度销售TOP10图书、哈佛商学院年度推荐图书，它的有声书版本也是当年Audible非虚构类有声书第一名。刚上市一个月，这本书就冲上了美国亚马逊图书总榜TOP100和《纽约时报》畅销榜；出版两年来，已经在全球授权了四十多个语言版本，总销量超过七十万册，并且正在拍摄电视连续剧，由曾出演《绝望主妇》的知名演员伊娃·朗格利亚担纲主演。
享誉全球的心理学泰斗、美国斯坦福大学精神病学终身荣誉教授欧文·亚隆为这本书写下推荐语：“我读心理治疗的书超过半个世纪了，但从来没见过这样的书：这么大胆、这么直白、这么多好故事，又这么深刻而引人入胜。”
国内知名心理学家李松蔚为这本书担任专业审校，并写下推荐序：“读这本书的过程，就是在灵魂的方寸之地一寸寸探索。越往下，越是晦暗幽深，于无声处听惊雷。”
洛莉· 戈特利布（Lori Gottlieb），1966 年出生于洛杉矶，美国作家、资深心理治疗师。她为《大西洋月刊》撰写的“亲爱的治疗师”专栏备受读者欢迎，她的TED 演讲是2019 年播放率最高的十大演讲之一。她经常作为心理健康话题的专家，出现在《今日秀》《早安美国》等电视和广播节目中。凭借《也许你该找个人聊聊》一书，她已成为《纽约时报》、《时代》杂志、《出版人周刊》等媒体热推的畅销书作家。"
心理学,被讨厌的勇气,岸见一郎、古贺史健,"本书用“青年与哲人的对话”这一故事形式总结了与弗洛伊德、荣格并称为“心理学三大巨头”的阿尔弗雷德·阿德勒的思想(阿德勒心理学)。
风靡欧美的阿德勒心理学对于“人如何能够获得幸福”这个哲学问题给出了极其简单而又具体的“答案”。了解了足以被称为“这个世界上的一个真理”的阿德勒思想之后，你的人生会发生什么变化呢？又或者，什么都不会改变？ 来吧，让我们与青年一起走进这扇“门”！
岸见一郎，哲学家。1956年生于京都，现居京都。京都大学研究生院文学研究系博士课程满期退学。1989年起致力于研究阿德勒心理学。日本阿德勒心理学会认定心理咨询师、顾问。在畅销世界各国的阿德勒心理学新古典巨作《被讨厌的勇气》出版后，像阿德勒生前一样，为了让世界更加美好，在国内外针对众多“青年”大力进行演讲和心理咨询活动。译著有阿德勒的《人生意义心理学》《个体心理学讲义》，著作有《被讨厌的勇气》《幸福的勇气》《不完美的父母》《接受幸福的勇气》等。
古贺史健，自由作家。1973年出生。以对话创作（问答体裁的执笔）见长，出版过许多商务或纪实文学方面的畅销书。他创作的 现场感与节奏感的采访稿广受好评，采访集《16岁的教科书》系列累计销量突破70万册。近30岁的时候邂逅阿德勒心理学，并被其颠覆常识的思想所震撼。之后，连续数年拜访京都的岸见一郎并向其请教阿德勒心理...
(展开全部)
古贺史健，自由作家。1973年出生。以对话创作（问答体裁的执笔）见长，出版过许多商务或纪实文学方面的畅销书。他创作的 现场感与节奏感的采访稿广受好评，采访集《16岁的教科书》系列累计销量突破70万册。近30岁的时候邂逅阿德勒心理学，并被其颠覆常识的思想所震撼。之后，连续数年拜访京都的岸见一郎并向其请教阿德勒心理学的本质。本书中他以希腊哲学的古典手法“对话篇”进行内容呈现。著有《想要让20岁的自己接受的文章讲义》。"
心理学,存在主义心理治疗,[美] 欧文·亚隆,"存在主义治疗是每一个心理治疗师在其临床工作和个人生活中都可能会采用到的一种精神取向，或者说是生活哲学。心理治疗的根本问题与人类存在的核心问题在这里相遇。
在本书中，亚隆教授从临床经验、实证性研究、哲学文献以及其他大量资料出发，围绕着四个“生命的终极关怀”——死亡、自由、存在的孤独和无意义——逐一进行深入的探讨，阐述每一个存在性关怀的意义，并论述治疗师应该如何通过对他们的理解来进行有效的临床工作。
本书不仅为那些存在主义取向的心理治疗师提供了一部经典的教科书，同时也为所有流派的治疗师以及所有思考过人生意义的人提供了一个对生命和存在进行反思的空间。
欧文·D. 亚隆，斯坦福大学医学院精神病学教授，美国团体心理治疗的权威、当代精神病学大师，存在主义治疗三大代表人物之一。曾因其在临床精神病学领域的贡献，于1974年获美国爱德华·史崔克精神病学奖，1979年获美国精神病学协会奖励基金。"
心理学,早安，怪物,[加] 凯瑟琳·吉尔迪纳,"这是一位心理治疗师的回忆录，在书中，她回忆了自己二十多年的职业生涯中最难忘的五位来访者。这五个人在童年时都曾经遭遇过严重的心理创伤。他们像是一个谜，一个要经过好几年才能解开的谜。他们前来寻求心理治疗师的帮助，希望解决生活中迫在眉睫的问题，但其实他们的痛苦早在许多年前就埋下了种子。 本书讲述了这五个来访者在心理层面的“英雄之旅”：如何面对难以言说的伤痛，如何发现内心潜藏的勇气，如何用令人敬佩的力量战胜创伤，重新建立健康的人际边界，拥有爱与被爱的能力。作者以小说般的笔法写下了诊室中发生的故事，读来令人心碎，却也鼓舞人心。
——
诺贝尔文学奖得主J.M.库切推荐：“这本书让我们有幸将医患关系视为本质上的人际互动。”
《也许你该找个人聊聊》作者洛莉·戈特利布推荐：“凯瑟琳·吉尔迪纳敏锐地捕捉到了进入人们内心生活的途径，见证了他们寻找自我的过程。这些故事令人心...
(展开全部)
《也许你该找个人聊聊》作者洛莉·戈特利布推荐：“凯瑟琳·吉尔迪纳敏锐地捕捉到了进入人们内心生活的途径，见证了他们寻找自我的过程。这些故事令人心碎，也令人惊喜。这本书鼓舞人心、意义深远，归根到底，它讲述了人际联系的力量和人类精神的胜利。”
心理学家李松蔚推荐：“可能是今年上半年最值得看的一本心理疗愈书。五星推荐。”
本书荣获：
美国亚马逊网站“编辑之选”：最佳自传与回忆录
《早安美国》2020年最佳图书
《新闻周刊》《柯克斯书评》《出版人周刊》共同推荐
凯瑟琳·吉尔迪纳（Catherine Gildiner）
加拿大籍心理治疗师、《纽约时报》畅销作家。著有《离瀑布太近》《瀑布以后》《回到陆上》和小说《诱惑》等作品。从业25年后，她决定全职写作，写就了这本，关于心理治疗的回忆录——《早安，怪物》。"
心理学,心的表达,李沁云,"“精神分析是心与心的一场奇遇。”
与现实生活的热闹喧腾相反，今天人们的内心常常是趋于闭锁和悲凉的。是否存在改变的可能？人与人之间的关系到底是什么？
要如何抓取那宛如岁月遗照般的记忆碎片，拼凑出有关自我的真相？要如何与幼年的自己相连通，帮助那个仍在我们内心的幽暗处无声呼喊的孩子渐渐长大？要怎样才能穿越几十年人生中最初保护我们但现在已妨碍我们追求幸福生活的自造围城，实现自由表达和自如、自洽的生活状态？
怀着对人性和人心的好奇，已经在美国拥有稳定的工作和生活的李沁云选择在34岁时重新去做学生，投身心理治疗行业，并将精神分析作为自己的一生志业。
从学徒期的被治疗体验、新手心理咨询师经历，再到作为心理咨询师、精神分析候选人的感悟，《心的表达》记录了沁云从2017年至今在不同阶段的思考。
“精神分析除了是一种有关人心的理论之外，更是一条实践之路：它关于临床工作者...
(展开全部)
“精神分析除了是一种有关人心的理论之外，更是一条实践之路：它关于临床工作者如何带着其全部的人性去接近和理解另一人的人性，如何以其自身被治愈过的、相对健康的心灵，去容纳并滋养另一个人的内心。”
李沁云，本名李婧，1981年出生于河南商城。本科毕业于北京大学心理系，研究生阶段赴美深造，先后在俄勒冈大学、华盛顿大学(圣路易)、波士顿学院及波士顿精神分析研究生院就读。出国前短暂地做过纸媒记者，后曾任教于普林斯顿大学和纽约大学。现为美国马萨诸塞州独立执业心理咨询师，波士顿精神分析学会成人精神分析项目候选人。自大学起在中文刊物上发表散文、小说、影评与诗歌作品。"
心理学,红书,[瑞士] 荣格（C. G. Jung）原著、[英] 索努·沙姆达萨尼（Sonu Shamdasani）编译,"1.国内首次授权出版，市面上仅有的一字未删的原版作品。
2.资深荣格学者呕心沥血13年考证解读，撰写近20万字导读及全书注解，帮助读者精确理解荣格思想。
3.领略荣格瑰丽奇绝的想象，驾驭文字在神话世界和梦境中遨游。
4.欣赏荣格天赋异禀的艺术才华，近距离观摩荣格令人叹为观止的绘画和书法。
5.援请专业荣格学者精心翻译中文，呈现能够让人读得懂的荣格。
6.装帧制作精良，全彩四色精装，双封套，四版随机封面，另附赠四张精致明信片，奉献极致阅读体验。
◆ 内容简介 ◆
心理学自开创以来，从来没有哪一本书像《红书》这样，从开始写作到出版面世，历经如此漫长的岁月和波折。也很少有著作像《红书》一样，在未曾出版之前，就对20世纪的社会和思想史产生如此深远的影响。《红书》可以被视为荣格的私人日记，记录了他在1914~1930年间的“自我实验”，荣格曾为它花费16年时间...
(展开全部)
心理学自开创以来，从来没有哪一本书像《红书》这样，从开始写作到出版面世，历经如此漫长的岁月和波折。也很少有著作像《红书》一样，在未曾出版之前，就对20世纪的社会和思想史产生如此深远的影响。《红书》可以被视为荣格的私人日记，记录了他在1914~1930年间的“自我实验”，荣格曾为它花费16年时间精心雕琢，将它视为自己后期著作的核心与关键来源。在此之后，他却又令人费解地突然中断了继续写作，将之束之高阁。直到荣格去世后几十年，荣格继承人协会才授权委托资深荣格学者索努•沙姆达萨尼教授进行编辑、翻译、出版。索努教授为《红书》耗费了13年的心血，才终于使得它面世出版。这本充满神秘色彩的“时光之书”，为充分理解荣格的作品开创了一个新纪元。它打开了一扇独一无二的窗口，让世人可以看到荣格是如何在他生命中的特殊时期修复了他的灵魂，继续研究心理学，从而成为一代大师。不论是它在荣格一生发展中所占据的地位，还是作为一件艺术品，《红书》的出版都堪称一个里程碑。
荣格
C. G. Jung
瑞士著名心理学家卡尔•古斯塔夫•荣格对现代心理学甚至东西方思想都产生了巨大的影响，他所开创的分析心理学已经成为一个重要的心理学流派，大量的心理学家以荣格分析师的名义开展工作，许多专家致力于研究他的思想、理论和生平。荣格的字词联想实验依然是现代实验心理学的主要研究范式，他所提出的分析师必须接受分析和督导才能进行分析实践，和面对面分析的设置等，依然影响着今天的临床心理学。荣格与弗洛伊德共同开创了现代心理咨询与治疗的范式，共同建立了国际精神分析协会，荣格担任主席；设立第一份国际精神分析杂志，荣格担任主编；荣格所工作的医院也成为世界上第一代精神分析师实习的地方，由他担任负责人和督导师。 国际心理分析协会也是在荣格的理论和实践的基础上建立的。荣格提出的有“集体无意识”与“原型”理论，著有《无意识心理学》《心理类型》《集体无意识原型》...
瑞士著名心理学家卡尔•古斯塔夫•荣格对现代心理学甚至东西方思想都产生了巨大的影响，他所开创的分析心理学已经成为一个重要的心理学流派，大量的心理学家以荣格分析师的名义开展工作，许多专家致力于研究他的思想、理论和生平。荣格的字词联想实验依然是现代实验心理学的主要研究范式，他所提出的分析师必须接受分析和督导才能进行分析实践，和面对面分析的设置等，依然影响着今天的临床心理学。荣格与弗洛伊德共同开创了现代心理咨询与治疗的范式，共同建立了国际精神分析协会，荣格担任主席；设立第一份国际精神分析杂志，荣格担任主编；荣格所工作的医院也成为世界上第一代精神分析师实习的地方，由他担任负责人和督导师。 国际心理分析协会也是在荣格的理论和实践的基础上建立的。荣格提出的有“集体无意识”与“原型”理论，著有《无意识心理学》《心理类型》《集体无意识原型》《心理学与文学》等。
编︱者︱简︱介
索努•沙姆达萨尼
Sonu Shamdasani
资深荣格学者，致力于荣格及其理论研究，推动荣格所有著作的编辑出版，现就职于伦敦大学学院（UCL）人文艺术学院，任心理学历史研究中心和健康人文中心主任，被誉为“除荣格之外最了解荣格的人”。
索努教授自1997年开始阅读《红书》，2000年被荣格家族基金会委任负责编辑《红书》，到2009年将《红书》出版，付出了巨大的时间和精力。在这13年中，索努教授的足迹遍布荣格曾经去过的每一个地方，广泛且深入地调查研究荣格所有的经历，熟读荣格的作品，全身心地投入到《红书》的编译中，最终使这部作品得以出版。如果没有他，《红书》将不会出版。
2003年，索努与斯蒂芬•马丁共同创立了腓利门基金会，专门致力于整理和出版荣格的所有著作（包括大量未曾面世的手稿和信札）。索努作为腓利门基金会的总编辑，主动承担起荣格的《红书》与《黑书》的编译工作，并深入探索荣格完成这些作品时的文化和历史背景，将荣格的思想置于整个19世纪到20世纪的历史过渡进程中，同时又全面地将心理学的发展和历史的发展相结合，从而建构出完整的现代心理学史。
译︱者︱简︱介
周党伟
荣格学者，现师从荣格《红书》的编者索努•沙姆达萨尼教授攻读博士学位。曾师从中国首位荣格分析师申荷永教授学习心理分析与中国文化，协助申荷永教授编辑和校对《荣格文集》（长春出版社，2014.1）， 并独立翻译和出版美国荣格分析师约翰•毕比博士的《类型与原型》一书。"
心理学,被讨厌的勇气,[日] 岸见一郎、[日] 古贺史健,"「被讨厌的勇气」并不是要去吸引被讨厌的负向能量，而是，如果这是我生命想绽放出最美的光彩，那么，即使有被讨厌的可能，我都要用自己的双手双脚往那里走去。」
「因为拥有了被讨厌的勇气，于是有了真正幸福的可能。」
你是否常常对繁琐的生活感到乏味？
你是否时时为复杂的人际关系感到疲惫？
你是否认为人生的意义越来越模糊难见？
我们如何能够在繁杂的日常琐碎和复杂的人际关系中用自己的双手去获得真正的幸福？
这一切的答案尽在这本《被讨厌的勇气》中！
★日本亚马逊2014年度销售冠军，连续300天雄踞销售榜首！
★蔡康永、张德芬 陈文茜、曾宝仪、勇气推荐！
★张沛超、胡慎之、动机在杭州 作序推荐！
★阿德勒思想拥有改变人一生的力量。剩下的就只有能否鼓起迈出一步的“勇气”
岸见一郎
哲学家。1956年生于京都，现居京都。高中时便以哲学为志向，进入大学后屡次到老师府上进行辩论。京都大学研究生院文学研究系博士课程满期退学。1989年起致力于研究专业哲学和阿德勒心理学。主要活动领域是阿德勒心理学及古代哲学的执笔与演讲，同时还在精神科医院为许多青年做心理辅导。日本阿德勒心理学会认定顾问。译著有阿尔弗雷德?阿德勒的《个人心理学讲义》和《人为什么会患神经病》，著作有《阿德勒心理学入门》等多部作品。本书由其负责原案。
古贺史健
自由作家。1973年出生。以对话创作（问答体裁的执笔）见长，出版过许多商务或纪实文学方面的畅销书。他创作的极具现场感与节奏感的采访稿广受好评，采访集《16岁的教科书》系列累计销量突破70万册。近30岁的时候邂逅阿德勒心理学，并被其颠覆常识的思想所震撼。之后，连续数年拜访京都的岸见一郎并向其请教阿德勒心理学的本...
(展开全部)
自由作家。1973年出生。以对话创作（问答体裁的执笔）见长，出版过许多商务或纪实文学方面的畅销书。他创作的极具现场感与节奏感的采访稿广受好评，采访集《16岁的教科书》系列累计销量突破70万册。近30岁的时候邂逅阿德勒心理学，并被其颠覆常识的思想所震撼。之后，连续数年拜访京都的岸见一郎并向其请教阿德勒心理学的本质。本书中他以希腊哲学的古典手法“对话篇”进行内容呈现。著有《想要让20岁的自己接受的文章讲义》。"
心理学,克服焦虑危机,[西] 佩德罗·莫雷诺、[西] 胡里奥·C. 马丁,"本书讲述了焦虑和惊恐发作的急救措施、焦虑危机的诱发因素，并且介绍了克服焦虑危机的重要概念和方法，如“更换芯片”“暴露疗法”等。
本书为焦虑症患者和家属，以及所有感兴趣的读者提供了他们应当具备的基础知识，并为惊恐症患者提供控制焦虑发作的方法。写给遭受焦虑危机而处于失控状态的人们，让面对这些严重问题的患者和治疗师都可以从中获益。
★你是否有不擅长处理的人际关系？
★你是否有沟通不畅、筋疲力尽后带来的烦躁、焦躁？
★你是否因为各种问题彷徨不安、思绪难眠？
1.西班牙临床心理学家经典入门指南，全新第16版，长踞心理咨询图书榜单。
2.哈佛大学教授力荐，拯救孤立无援的疗愈之书。
3.聚焦当下所有中青年压力人群，揭示内耗、焦虑背后的底层逻辑，有效瓦解精神困惑。
4.急救措施+诱发因素+治疗方案+控制方法，带你摆脱精神困扰，恢复内心安宁。
5.国际知名心理咨询师、...
(展开全部)
5.国际知名心理咨询师、西班牙资深临床心理学博士，针对焦虑人群疑难病症，凝聚20多年研究和实战经验，轻松弄懂焦虑基础概念，重新认识自我，体验疗愈和改变发生。
6.学会管理情绪、改善人际关系、了解孩子身心健康，破除自身情绪障碍，拯救迷茫彷徨的群体，找到自我状态，理性思考与行动。
7.对父母、对孩子、对自己都适用的心理自助手册。预防、缓解焦虑的方法与有效措施。
8.掌握“允许一切发生”的核心，阻断内耗发生，找回自身心力锚点。
9.32开小开本，双色内文用纸，便携式随时随地阅读，兼顾知识性与趣味性。
10.当你感到沮丧、失落、不知所措时，希望这本书能给你信心和力量，重新开启人生新篇章。
[西]佩德罗·莫雷诺，西班牙临床心理学专家，研究方向为焦虑症和强迫症。著作有《慢性焦虑》《克服焦虑危机》和《克服强迫症》《对生活进行改革开放》等。
[西]胡里奥·C. 马丁，西班牙临床心理学专家，毕业于萨拉曼卡大学心理学系。目前任职于穆尔西亚诺卫生局精神健康分局，致力于焦虑症的治疗研究。"
